date,close
2016-10-17,"19,225"
2016-10-18,"19,155"
2016-10-19,"18,995"
2016-10-20,"18,800"
2016-10-21,"18,715"
2016-10-24,"18,500"
2016-10-25,"18,480"
2016-10-26,"18,555"
2016-10-27,"19,195"
2016-10-28,"19,145"
2016-10-31,"18,775"
2016-11-01,"18,820"
2016-11-02,"18,395"
2016-11-03,"18,370"
2016-11-04,"18,485"
2016-11-07,"18,795"
2016-11-08,"18,810"
2016-11-09,"18,235"
2016-11-10,"18,550"
2016-11-11,"18,310"
2016-11-14,"18,250"
2016-11-15,"18,255"
2016-11-16,"18,550"
2016-11-17,"18,655"
2016-11-18,"18,505"
2016-11-21,"18,180"
2016-11-22,"18,470"
2016-11-23,"18,400"
2016-11-24,"18,355"
2016-11-25,"18,420"
2016-11-28,"18,325"
2016-11-29,"18,490"
2016-11-30,"18,540"
2016-12-01,"18,530"
2016-12-02,"18,390"
2016-12-05,"18,280"
2016-12-06,"18,525"
2016-12-07,"18,350"
2016-12-08,"18,805"
2016-12-09,"18,780"
2016-12-12,"18,905"
2016-12-13,"19,360"
2016-12-14,"19,590"
2016-12-15,"19,900"
2016-12-16,"20,025"
2016-12-19,"19,875"
2016-12-20,"19,685"
2016-12-21,"19,960"
2016-12-22,"20,080"
2016-12-23,"20,225"
2016-12-26,"19,955"
2016-12-27,"20,075"
2016-12-28,"20,220"
2016-12-29,"20,455"
2017-01-02,"20,650"
2017-01-03,"20,840"
2017-01-04,"20,500"
2017-01-05,"20,480"
2017-01-06,"20,660"
2017-01-09,"21,065"
2017-01-10,"20,850"
2017-01-11,"21,150"
2017-01-12,"20,960"
2017-01-13,"20,825"
2017-01-16,"20,365"
2017-01-17,"20,365"
2017-01-18,"20,500"
2017-01-19,"20,535"
2017-01-20,"20,340"
2017-01-23,"20,470"
2017-01-24,"20,535"
2017-01-25,"20,600"
2017-01-26,"20,950"
2017-01-31,"21,125"
2017-02-01,"21,095"
2017-02-02,"20,660"
2017-02-03,"20,795"
2017-02-06,"20,570"
2017-02-07,"20,265"
2017-02-08,"20,560"
2017-02-09,"20,395"
2017-02-10,"19,930"
2017-02-13,"20,100"
2017-02-14,"19,825"
2017-02-15,"19,770"
2017-02-16,"20,215"
2017-02-17,"20,530"
2017-02-20,"20,650"
2017-02-21,"20,720"
2017-02-22,"20,685"
2017-02-23,"20,485"
2017-02-24,"19,990"
2017-02-27,"19,930"
2017-02-28,"19,990"
2017-03-02,"20,025"
2017-03-03,"19,845"
2017-03-06,"20,400"
2017-03-07,"20,445"
2017-03-08,"20,360"
2017-03-09,"20,305"
2017-03-10,"20,600"
2017-03-13,"20,915"
2017-03-14,"20,750"
2017-03-15,"20,495"
2017-03-16,"20,470"
2017-03-17,"20,140"
2017-03-20,"20,145"
2017-03-21,"20,110"
2017-03-22,"20,200"
2017-03-23,"20,140"
2017-03-24,"20,405"
2017-03-27,"20,545"
2017-03-28,"20,655"
2017-03-29,"20,920"
2017-03-30,"20,900"
2017-03-31,"20,900"
2017-04-03,"21,345"
2017-04-04,"21,455"
2017-04-05,"21,325"
2017-04-06,"21,205"
2017-04-07,"21,365"
2017-04-10,"21,000"
2017-04-11,"21,105"
2017-04-12,"21,200"
2017-04-13,"21,235"
2017-04-14,"21,130"
2017-04-17,"21,360"
2017-04-18,"21,865"
2017-04-19,"21,835"
2017-04-20,"21,820"
2017-04-21,"21,865"
2017-04-24,"21,760"
2017-04-25,"21,915"
2017-04-26,"22,290"
2017-04-27,"22,000"
2017-04-28,"22,070"
2017-05-02,"22,300"
2017-05-04,"22,600"
2017-05-08,"22,885"
2017-05-10,"22,680"
2017-05-11,"23,150"
2017-05-12,"22,960"
2017-05-15,"23,150"
2017-05-16,"22,755"
2017-05-17,"22,740"
2017-05-18,"22,890"
2017-05-19,"22,745"
2017-05-22,"23,000"
2017-05-23,"22,930"
2017-05-24,"22,950"
2017-05-25,"22,765"
2017-05-26,"22,940"
2017-05-29,"23,170"
2017-05-30,"23,390"
2017-05-31,"23,370"
2017-06-01,"23,360"
2017-06-02,"23,700"
2017-06-05,"23,480"
2017-06-07,"23,675"
2017-06-08,"24,155"
2017-06-09,"24,550"
2017-06-11,"24,550"
2017-06-12,"23,850"
2017-06-13,"24,085"
2017-06-14,"24,220"
2017-06-15,"24,210"
2017-06-16,"24,240"
2017-06-19,"24,885"
2017-06-20,"24,655"
2017-06-21,"24,510"
2017-06-22,"24,545"
2017-06-23,"24,850"
2017-06-26,"25,640"
2017-06-27,"25,975"
2017-06-28,"25,525"
2017-06-29,"25,730"
2017-06-30,"25,570"
2017-07-03,"24,890"
2017-07-04,"24,615"
2017-07-05,"25,300"
2017-07-06,"25,385"
2017-07-07,"25,235"
2017-07-10,"25,285"
2017-07-11,"25,500"
2017-07-12,"25,445"
2017-07-13,"26,140"
2017-07-14,"26,280"
2017-07-17,"26,410"
2017-07-18,"26,640"
2017-07-19,"27,135"
2017-07-20,"27,240"
2017-07-21,"27,130"
2017-07-23,"27,130"
